algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.3179,9476,8
MergeSort,random,10000,2.2700,126853,11
MergeSort,random,100000,10.8942,1639358,14
MergeSort,random,1000000,111.3099,19886789,18
MergeSort,sorted,1000,0.0186,4236,8
MergeSort,sorted,10000,0.3956,59248,11
MergeSort,sorted,100000,3.1944,744016,14
MergeSort,sorted,1000000,34.0608,9071040,18
MergeSort,duplicates,1000,0.0393,9028,8
MergeSort,duplicates,10000,0.4449,121787,11
MergeSort,duplicates,100000,5.0909,1561236,14
MergeSort,duplicates,1000000,57.4378,18931197,18
QuickSort,random,1000,0.2065,10337,7
QuickSort,random,10000,2.6901,158246,9
QuickSort,random,100000,15.5546,1962240,12
QuickSort,random,1000000,130.1250,25187372,14
QuickSort,sorted,1000,0.0477,11104,7
QuickSort,sorted,10000,0.5366,158496,9
QuickSort,sorted,100000,6.2460,1942829,11
QuickSort,sorted,1000000,78.8988,25099808,13
QuickSort,duplicates,1000,0.0176,3094,3
QuickSort,duplicates,10000,0.1620,38858,2
QuickSort,duplicates,100000,1.7478,369881,3
QuickSort,duplicates,1000000,17.2834,3900448,2
QuickSelect,random,1000,0.1954,3196,19
QuickSelect,random,10000,0.7608,28230,18
QuickSelect,random,100000,2.8610,255132,20
QuickSelect,random,1000000,14.7643,3230544,18
QuickSelect,sorted,1000,0.0184,3734,16
QuickSelect,sorted,10000,0.0854,33206,16
QuickSelect,sorted,100000,0.7898,350610,26
QuickSelect,sorted,1000000,7.1000,3383725,24
QuickSelect,duplicates,1000,0.1655,2460,5
QuickSelect,duplicates,10000,0.1505,9999,1
QuickSelect,duplicates,100000,3.2056,230191,3
QuickSelect,duplicates,1000000,12.4352,2600157,4
